profile_id,community_id,community_name_zh,association_name_zh,district_code,district_name_zh,village_name_zh,postal_code,address_zh,latitude,longitude,established_date,registration_number,term_number,organization_status,source_dataset_title,source_url,source_resource_updated_at,source_accessed_on,record_status,data_quality_flag,is_example,created_at,updated_at,schema_version,notes
PROFILE-COM-0001,COM-0001,華江,臺北市萬華區華江社區發展協會,63000070,萬華區,華江里,108,臺北市萬華區華江里長順街14巷1弄2號1樓,25.0313326,121.4897084,1992-06-14,北市社七字第29038號,8,unknown,臺北市社區發展服務_社區發展協會,https://data.taipei/dataset/detail?id=e81a07f7-8137-4019-a96f-210a00ef72a3,2026-03-31T15:13:03+08:00,2026-08-03,verified,none,false,2026-08-03T10:00:00Z,2026-08-03T10:00:00Z,1.0.0,政府名冊未提供營運狀態，因此不推論為 active。
PROFILE-COM-0002,COM-0002,富福,臺北市萬華區富福社區發展協會,63000070,萬華區,富福里,108,臺北市萬華區富福里西園路一段179號2樓,25.0345473,121.499469,1999-10-02,北市社七字第8827266700號,6,unknown,臺北市社區發展服務_社區發展協會,https://data.taipei/dataset/detail?id=e81a07f7-8137-4019-a96f-210a00ef72a3,2026-03-31T15:13:03+08:00,2026-08-03,verified,none,false,2026-08-03T10:00:00Z,2026-08-03T10:00:00Z,1.0.0,政府名冊未提供營運狀態，因此不推論為 active。
PROFILE-COM-0003,COM-0003,雙園,臺北市萬華區雙園社區發展協會,63000070,萬華區,雙園里,108,臺北市萬華區雙園里莒光路293號1樓,25.030973,121.4993599,1992-05-07,北市社七字第23377號,8,unknown,臺北市社區發展服務_社區發展協會,https://data.taipei/dataset/detail?id=e81a07f7-8137-4019-a96f-210a00ef72a3,2026-03-31T15:13:03+08:00,2026-08-03,verified,none,false,2026-08-03T10:00:00Z,2026-08-03T10:00:00Z,1.0.0,政府名冊未提供營運狀態，因此不推論為 active。
